dataset_id,sample_id,healthy_control,exploratory
Chen2023,AML103_Niche_Immune,FALSE,FALSE
Chen2023,AML162_niche_immune,FALSE,FALSE
Chen2023,AML24_Niche_Immune,FALSE,FALSE
Chen2023,AML304_Niche_Immune,FALSE,FALSE
Chen2023,AML320_NICHE_IMMUNE,FALSE,FALSE
Chen2023,NBM1_Niche_Immune,TRUE,FALSE
Chen2023,NBM2_Niche_Immune,TRUE,FALSE
Chen2023,NBM3_Niche_immune,TRUE,FALSE
Chen2023,NBM4_Niche_Immune,TRUE,FALSE
GSE116256,AML420B-D14,FALSE,FALSE
GSE116256,AML556-D0,FALSE,FALSE
GSE116256,AML556-D15,FALSE,FALSE
GSE116256,AML556-D31,FALSE,FALSE
GSE116256,AML707B-D0,FALSE,FALSE
GSE116256,AML707B-D113,FALSE,FALSE
GSE116256,AML707B-D18,FALSE,FALSE
GSE116256,AML916-D0,FALSE,FALSE
GSE116256,AML921A-D0,FALSE,FALSE
GSE116256,BM4,TRUE,FALSE
GSE116256,BM5-34p,TRUE,FALSE
GSE116256,BM5-34p38n,TRUE,FALSE
GSE185381,GSM5613744_2019-07-01-count-1,FALSE,FALSE
GSE185381,GSM5613745_2019-07-01-count-2,FALSE,FALSE
GSE185381,GSM5613746_2019-07-01-count-3,FALSE,FALSE
GSE185381,GSM5613748_2019-08-01-count-2,FALSE,FALSE
GSE185381,GSM5613749_2019-08-01-count-3,FALSE,FALSE
GSE185381,GSM5613750_2019-08-01-count-4,FALSE,FALSE
GSE185381,GSM5613751_2019-08-29-count-1,FALSE,FALSE
GSE185381,GSM5613752_2019-08-29-count-2,FALSE,FALSE
GSE185381,GSM5613756_2019-10-25-count-5,FALSE,FALSE
GSE185381,GSM5613757_2019-11-04-count-1,FALSE,FALSE
GSE185381,GSM5613758_2019-11-04-count-2,FALSE,FALSE
GSE185381,GSM5613759_2019-11-04-count-3,FALSE,FALSE
GSE185381,GSM5613760_2019-11-19-count-1,FALSE,FALSE
GSE185381,GSM5613761_2019-11-19-count-2,FALSE,FALSE
GSE185381,GSM5613762_2019-11-26-count-1,FALSE,FALSE
GSE185381,GSM5613763_2019-11-26-count-2,FALSE,FALSE
GSE185381,GSM5613764_2020-01-03-count-1,FALSE,FALSE
GSE185381,GSM5613765_2020-01-03-count-2,FALSE,FALSE
GSE185381,GSM5613766_2020-03-18-AML0048-c1,FALSE,FALSE
GSE185381,GSM5613767_2020-03-18-AML0048-c2,FALSE,FALSE
GSE185381,GSM5613768_2020-03-18-AML3266,FALSE,FALSE
GSE185381,GSM5613769_2020-03-18-count-1,FALSE,FALSE
GSE185381,GSM5613770_2020-03-18-count-2,FALSE,FALSE
GSE185381,GSM5613771_2020-03-18-count-3,FALSE,FALSE
GSE185381,GSM5613774_2020-08-26-Control4003-c1,FALSE,FALSE
GSE185381,GSM5613775_2020-08-26-Control4003-c2,FALSE,FALSE
GSE185381,GSM5613776_2020-08-26-Control4003-c3,FALSE,FALSE
GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,FALSE,FALSE
GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,FALSE,FALSE
GSE185381,GSM5613779_2020-09-15-AML0024,FALSE,FALSE
GSE185381,GSM5613780_2020-10-06-AML4897,FALSE,FALSE
GSE185381,GSM5613781_2020-10-06-count2,FALSE,FALSE
GSE185381,GSM5613782_2020-10-06-count4_0.95,FALSE,FALSE
GSE185381,GSM5613784_2021-03-09-AML0693,FALSE,FALSE
GSE185381,GSM5613785_2021-03-09-AML3948,FALSE,FALSE
GSE185381,GSM5613786_2021-03-09-AMLMS3730,FALSE,FALSE
GSE185381,GSM5613787_2021-03-09-count1_0.95,FALSE,FALSE
GSE185381,GSM5613788_2021-03-09-Z-1-1,FALSE,FALSE
GSE185381,GSM5613789_2021-03-09-Z-1-2,FALSE,FALSE
GSE185381,GSM5613790_2021-03-09-Z-1-3,FALSE,FALSE
GSE185381,GSM5613791_2019-10-21-1-Control0004,FALSE,FALSE
GSE185381,GSM5613793_2020-03-18-82,FALSE,FALSE
GSE185381,GSM5613795_2020-05-22-5prime_2,FALSE,FALSE
GSE185381,GSM5613796_2020-08-07-MDS-AML_cDNA1,FALSE,FALSE
GSE185381,GSM5613797_2020-08-07-MDS-AML_cDNA2,FALSE,FALSE
GSE185381,GSM5613800_2021-04-29-0102_cDNA,FALSE,FALSE
GSE185381,GSM5613801_2021-04-29-0134_cDNA,FALSE,FALSE
GSE185381,GSM5613804_2021-04-29-2910_cDNA,FALSE,FALSE
GSE185381,GSM5613805_2021-04-29-2975_cDNA,FALSE,FALSE
GSE201966,GSM6085180_AML02M5_RE,FALSE,FALSE
GSE201966,GSM6085181_AML03M5_P,FALSE,FALSE
GSE201966,GSM6085182_AML03M5_RE,FALSE,FALSE
GSE207356,GSM6284913_TS173_05_Sample_E,FALSE,TRUE
GSE207356,GSM6284914_TS173_06_Sample_F,FALSE,TRUE
GSE227903,1886_Dg,FALSE,FALSE
GSE227903,1886_MRD,FALSE,FALSE
GSE227903,1886_R,FALSE,FALSE
GSE227903,3853_Dg,FALSE,FALSE
GSE227903,3853_R,FALSE,FALSE
GSE227903,3904_Dg,FALSE,FALSE
GSE227903,3904_MRD,FALSE,FALSE
GSE227903,3904_R,FALSE,FALSE
GSE227903,40389_Dg,FALSE,FALSE
GSE227903,40389_MRD,FALSE,FALSE
GSE227903,40389_R,FALSE,FALSE
GSE227903,4978_Dg,FALSE,FALSE
GSE227903,4978_MRD,FALSE,FALSE
GSE227903,4978_R,FALSE,FALSE
GSE227903,5143_Dg,FALSE,FALSE
GSE227903,5143_R,FALSE,FALSE
GSE227903,5750_Dg,FALSE,FALSE
GSE227903,5750_MRD,FALSE,FALSE
GSE227903,5750_R,FALSE,FALSE
GSE227903,6323_Dg,FALSE,FALSE
GSE227903,6323_MRD,FALSE,FALSE
GSE227903,6323_R,FALSE,FALSE
GSE227903,6323_R2,FALSE,FALSE
GSE239721,PT17A,FALSE,FALSE
GSE239721,PT20A,FALSE,FALSE
GSE239721,PT21A,FALSE,FALSE
GSE239721,PT22A,FALSE,FALSE
GSE239721,PT23A,FALSE,FALSE
GSE239721,PT26A,FALSE,FALSE
GSE239721,PT27A,FALSE,FALSE
GSE239721,PT28A,FALSE,FALSE
GSE239721,PT29A,FALSE,FALSE
GSE239721,PT30A,FALSE,FALSE
GSE239721,PT32A,FALSE,FALSE
GSE289435,GSM8791432_MLL_14666,FALSE,FALSE
GSE289435,GSM8791433_MLL_16703,FALSE,FALSE
GSE289435,GSM8791434_MLL_17746,FALSE,FALSE
GSE289435,GSM8791435_MLL_17843,FALSE,FALSE
GSE289435,GSM8791436_MLL_17844,FALSE,FALSE
GSE289435,GSM8791437_MLL_28824,FALSE,FALSE
GSE289435,GSM8791438_MLL_28830,FALSE,FALSE
GSE289435,GSM8791439_MLL_28855,FALSE,FALSE
GSE289435,GSM8791441_MLL_29532,FALSE,FALSE
GSE289435,GSM8791442_MLL_29538,FALSE,FALSE
GSE289435,GSM8791443_MLL_30862,FALSE,FALSE
GSE289435,GSM8791444_MLL_30886,FALSE,FALSE
Petti2019,508084,FALSE,FALSE
Petti2019,548327,FALSE,FALSE
Petti2019,721214,FALSE,FALSE
Petti2019,782328,FALSE,FALSE
Petti2019,809653,FALSE,FALSE
Petti2019,ND_083017,TRUE,FALSE
Petti2019,ND_090617,TRUE,FALSE
Petti2019,Normal_sorted_170531,TRUE,FALSE
Petti2019,Normal_sorted_170607,TRUE,FALSE
